,a2c,ddpg,td3,ppo,sac,mean var,dji
2022-09-06,853535.0393298838,972944.0613848265,928810.9916783444,814541.3704990398,905418.3647601623,990990.1449102846,907326.2996135225
2022-09-07,865235.9007648203,984818.1616045531,943127.5013600461,826195.8182186137,918611.7167575378,1005270.6379745605,920027.2452897694
2022-09-08,869300.8420642588,990213.1148973998,948233.4208012692,833590.8726772319,924293.3567264099,1008572.6688236566,925656.7284668101
2022-09-09,884413.8301776621,1003665.8039766845,959479.3004246823,849810.4367488872,937876.4838778991,1015445.6993883429,936645.0854354113
2022-09-12,891203.5019916269,1014181.670653015,962893.1349812619,860040.4494365703,942447.0997302551,1031426.9811326922,943334.6450339991
2022-09-13,858765.0941699716,972659.3703371581,921655.7842084042,827074.1712802898,903079.7253062744,978784.1776352712,906151.4019682793
2022-09-14,855977.1751025888,971108.2535845336,924240.6677762143,829636.9559940349,904564.8132884521,978309.8632328629,907028.8341241849
2022-09-15,841741.8547443125,968024.6793123778,918052.3756772153,817220.7456935893,896761.9020335693,974922.9859361694,901981.1383665162
2022-09-16,839512.8856586191,961317.1807390746,915213.3509350888,811135.8337749492,892886.046984436,973141.2955549061,897920.1199329871
2022-09-19,842477.5677112314,970345.3406359252,920928.5128460996,816640.2029613506,899673.4090831298,987699.9831610534,903666.7002747288
2022-09-20,834109.740410206,960296.147833496,911301.7033482663,807294.0745586406,889660.0167148132,984413.70097823,894535.2835720076
2022-09-21,818391.0386737558,942850.2964388427,895662.7479802243,791321.61129799,876189.1340243835,966791.9200746188,879315.2125945113
2022-09-22,817613.0058368418,937766.3495623168,890015.0387059323,785857.0340007793,869180.6944491882,965865.8319635885,876195.1819694492
2022-09-23,807775.5999072763,921353.4026629027,876932.6147214047,772031.8036162158,853391.0173442382,959053.4220959934,862029.1561698371
2022-09-26,799923.5169212915,909653.1124178466,866942.4805585019,762684.6862030918,843292.6700084228,951713.4460517822,852427.2455628823
2022-09-27,793435.985424328,906292.2009035643,862089.0279065244,759562.536283538,838047.4210917968,955590.9252945142,848761.8425745262
2022-09-28,803651.7109874574,925306.890524536,880566.3238049619,769203.8816696807,855865.3077342529,968518.8500866044,864748.0521927895
2022-09-29,793997.5890697328,909982.6239306029,864781.6809941403,756647.3230168029,841017.4577090759,945094.0784487418,851401.7634446094
2022-09-30,780547.3816642077,892370.0810534057,851260.3943120114,742197.1771370574,827422.141363861,926458.7827376152,836832.8391886088
2022-10-03,802528.0141370698,917600.5674501952,873710.9992200009,763641.7900425597,851207.5144374389,950757.5007498683,859129.9487207732
2022-10-04,824068.5953968946,944384.3722979125,899173.5318738095,789895.2759167358,878365.9038569946,971010.4384808678,883176.403407812
2022-10-05,824612.210852522,944837.1271349486,895831.7176648251,789979.5271317168,875477.4737727661,975609.395036108,881939.7139642864
2022-10-06,813174.7726220075,936910.9534975585,886414.9377843015,778702.6810566589,866682.7395236511,968190.4444353835,871832.9427439246
2022-10-07,793490.3542851392,917746.8466631469,869558.0541745297,760483.1409889861,848765.5738475341,940309.8476468329,853475.3732941538
2022-10-10,787004.8058117811,912123.2634722289,870582.3176404111,752771.9115063354,844214.5637004394,934496.5871002255,850739.6353077653
2022-10-11,780377.9178713018,909100.3886171874,875115.7074452512,747289.75674216,843512.4639880676,932314.4806921795,851797.3788897824
2022-10-12,778810.0087526494,908108.9322039183,873592.9857541196,746265.7432266875,843825.1742351074,929114.8714674609,850971.7812902628
2022-10-13,804478.9090898687,931579.8399035033,897849.1552373044,772123.0630089446,871146.8950717468,948825.6814126,875089.359133704
2022-10-14,793373.2381609136,916791.1708056029,883251.9480382077,759578.2163216277,854613.7952945251,934380.8004896622,863323.1993266856
2022-10-17,811773.6731889897,934017.5280138549,900259.8826886289,776918.4584862395,872890.4727122802,954569.2332282347,879374.6715532638
2022-10-18,821640.8264177495,943320.826361328,909829.1985341184,792340.577886264,885250.2059848327,961523.3923357347,889220.7337315168
2022-10-19,817647.3092897588,939838.5465914306,906320.811643707,790374.3030029937,880750.6115825195,951525.1791688423,886307.8137378986
2022-10-20,819210.6675928289,934101.8038469848,899897.7956982724,797398.0067764922,878158.9976375122,945350.3588227872,883679.5001669403
2022-10-21,832058.3741090947,960604.5399538573,922551.6924534909,809630.6444794341,900360.860152008,968447.0971624735,905498.54829103
2022-10-24,841444.8176019841,971584.7042986449,937309.0728360288,815807.717449174,913146.0562541503,984960.2862611111,917648.3179544206
2022-10-25,852529.7844370061,984989.3137499389,948251.5239049069,829981.8839647819,924987.6489856262,998432.7531197821,927469.34478162
2022-10-26,846611.0048044377,992213.583960205,942853.7343541257,829686.780514638,923301.1518771667,993995.498713837,927538.3626925929
2022-10-27,852309.3404253179,998462.1269976195,952888.3723317258,835342.6527046596,926836.9313876648,983769.0202588128,933194.9295675916
2022-10-28,879875.4822366887,1025567.9823290404,979999.3890973203,859986.7638368198,952585.8178737182,1021422.7891987172,957331.4546198986
2022-10-31,872635.9985597783,1023325.491217285,974371.8158932797,854379.9988278934,948235.8032557983,1015995.2195129532,953577.7451205532
2022-11-01,868874.3610933477,1021741.0306231078,972968.4916096799,850660.4809579441,948281.7940509338,1005294.1021050934,951254.4645427738
2022-11-02,850766.4284685308,1004551.2193666991,959638.106062042,828959.8888539859,931343.4356334228,981735.6060335673,936529.9797190897
2022-11-03,841916.9957826787,998783.2753130492,955899.85690509,819952.8703050205,922909.7181842346,961761.2034403397,932261.8506541168
2022-11-04,850882.2468164617,1011394.5825182494,972252.9212361447,825300.9756745883,936586.3584888,961899.5977592451,943972.0792109404
2022-11-07,862976.2644327336,1021781.3825289306,987219.5818463437,838250.241959531,951203.5727260131,973071.17241882,956317.6366992756
2022-11-08,870182.7012499028,1028153.100302368,999541.5304738156,847955.4648160526,961409.1789462585,980803.1676709182,966042.7326131193
2022-11-09,854960.5790918523,1003906.869368225,983806.7101498715,828466.4445409366,943200.8762385864,957390.5352542314,947197.5428030535
2022-11-10,892490.980481928,1045984.6499544677,1020366.9328595273,869167.229989011,983654.9969508667,1012178.186769312,982197.7032568944
2022-11-11,891365.504510706,1050128.186102539,1020804.0799504392,872528.8204965183,989970.5015018005,1009148.0948758026,983144.153323773
2022-11-14,888739.8770769292,1041629.0385271605,1016008.1427022092,873515.518969495,984085.3848941345,993121.5602721027,976992.6261787383
2022-11-15,892299.1570223027,1043679.5262819823,1016346.0277958981,877926.9916543552,986665.0881717224,995618.1390926014,978630.5071228988
2022-11-16,892341.9415529424,1044020.1408983764,1017144.7373829953,868619.1819829532,985158.9114291687,1000127.2167433936,977491.6262440578
2022-11-17,891908.9359453374,1042899.2057482299,1017726.0266400449,863220.8717259952,982661.6504924316,1003186.797001979,977272.908313489
2022-11-18,892748.0473573857,1050331.5697313843,1021914.0664540402,864388.8967027256,984206.117750885,1015322.1472752405,983080.9959608875
2022-11-21,889976.6878870183,1046333.4586168822,1027425.6682187192,858540.1976728031,986845.0307948608,1002125.3165774383,981758.1052518021
2022-11-22,901576.5023554021,1061903.3235994873,1036593.9359303586,871772.2101811954,997793.9051272888,1019255.4846385509,993347.4244427414
2022-11-23,905015.0058839971,1066050.892340332,1037375.2192784421,875357.6237077304,998536.6942203064,1023191.8979933733,996142.848981983
2022-11-25,909524.3060205632,1071022.0883699951,1041151.223009216,879109.2822446415,1001519.8251254577,1026599.4237248214,1000599.2552665843
2022-11-28,896569.9959619695,1053211.1072527466,1025361.1506062619,867363.9642209598,985070.9533450622,1007715.1214842068,986104.0146006166
2022-11-29,893461.6395433599,1050872.7637468872,1026044.6095563046,868111.1525353977,984733.1667964477,996105.9218343907,986193.4590821085
2022-11-30,920243.3924425298,1078360.82948938,1047773.7664738767,891809.4961843082,1008122.7605121154,1035306.72254587,1007670.7177657906
2022-12-01,911258.5340631658,1073807.943739563,1046200.152734863,875181.7346925327,1003236.7992465515,1030939.4255624259,1001997.0244347303
2022-12-02,911281.9851205999,1075053.287375122,1049020.646764862,872815.6965932437,1001012.2023952026,1031735.3357870441,1003012.7769052073
2022-12-05,891956.3175829106,1057466.3630892334,1037424.9172841184,852729.7170075962,982680.4731891174,1019114.8940397608,988948.4856685133
2022-12-06,881882.5471819097,1044277.2938601073,1023507.3801823728,845201.1809224674,970002.8922412414,1010586.6929510587,978730.0795418622
2022-12-07,878987.0884912664,1045293.215109497,1023557.393472778,840341.8251523563,968546.5949237365,1011046.3978113885,978776.1673472109
2022-12-08,884257.1514528447,1052664.6462389526,1028815.4193135373,843178.0725888797,972470.1508700866,1022699.4311304379,984123.604535222
2022-12-09,880801.3039262944,1042829.7243715819,1020683.9183751218,841735.0488366672,965389.4351413269,1012011.1680485916,975237.7618669271
2022-12-12,899118.4352625066,1060306.8731218872,1036479.0606671445,857409.4776715824,978899.0540263671,1029851.1383556366,990636.3235177308
2022-12-13,900595.5107973272,1064181.5965563355,1041070.4228345029,859846.3361653873,984635.6658427734,1031747.0128306829,993654.4488842995
2022-12-14,899226.1670206243,1058325.3958345947,1036749.0585766904,854856.5488919803,977383.4193370361,1027118.4339312317,989509.2775321152
2022-12-15,880666.9979494268,1034301.2483736571,1013923.9705754392,831315.5438279697,953635.3786838073,998835.9832242071,967248.5261575038
2022-12-16,870554.3657320195,1026518.6762377318,1006537.4101010434,820299.7542562076,943507.3127772827,986938.8306344354,959040.3449234111
2022-12-19,865602.2194460088,1018464.0471941527,1000080.1293393247,817604.7371415683,936567.2244060058,975737.9616740833,954294.0975518386
2022-12-20,869259.3485544377,1019901.6244722899,1003690.8216687314,821073.1376142093,939072.9946544189,971296.7136636844,956980.0493287453
2022-12-21,878803.9810198003,1040886.3854357299,1017985.5393735043,829760.7197713443,949881.9173152465,991729.7700461389,972325.1263659345
2022-12-22,869685.8248766118,1032214.1576220092,1005217.694002258,820303.7987031528,938822.1467425842,981777.3944794469,962158.2703030438
2022-12-23,873462.6621988469,1039158.4378115233,1009832.9649144284,824860.6824388095,943920.4250552673,986037.9318709451,967298.3692655106
2022-12-27,875717.2918947393,1041025.9181124266,1008819.2003842465,826591.935450513,942200.12669635,984021.1696870433,968394.57625051
2022-12-28,867824.9924867803,1028453.5619799193,997959.7170964353,816909.2044591495,932078.1418445129,968743.1939819589,957736.685915817
2022-12-29,880550.294606989,1039557.6191927489,1008371.3579693906,829573.5892953464,944217.5607020874,982966.9112818692,967789.858725514
2022-12-30,878353.4231126958,1037287.8435732421,1004944.1033383481,829194.1685075351,941823.6579692382,979586.4502445771,965647.1740664716
2023-01-03,881799.6803873235,1030838.8898760375,1006606.0608006589,834209.9480458156,941007.6925342102,962898.4397196496,965330.2492815424
2023-01-04,881828.7805689031,1031688.3356081542,1012549.2871113889,849172.0487728149,943778.292120697,961064.4145197066,969216.4185473715
2023-01-05,870897.7546022588,1019140.7420336303,1003441.6083012692,838178.9120533039,934491.1887729187,944088.3991002743,959320.5132611117
2023-01-06,891143.5370691472,1037184.6314074096,1026958.3459416501,861302.0515208637,953442.6873767395,957974.3631521636,979728.4210636519
2023-01-09,894193.1951387578,1038302.593435913,1019739.3786374204,867983.1083491165,955179.0369212646,960197.4049371423,976437.6379646987
2023-01-10,901151.9845598394,1043936.6712175902,1026829.743410217,873755.012659343,962889.8685214538,961950.1670880573,981869.3987669407
2023-01-11,905228.7381418401,1055493.2288805542,1035714.3041554563,874549.8861697037,971925.7350451965,980849.6228916625,989703.3015027811
2023-01-12,912867.6444261724,1064668.2944780884,1042485.7308407895,883846.2844584305,978637.4805552978,983583.2630869079,996023.7034703776
2023-01-13,916081.5509012395,1067376.206656128,1047827.107774841,886507.5380785782,984612.3985583801,983876.7813925202,999305.1552112107
2023-01-17,912877.8593156987,1052958.23850885,1033247.7698880307,882148.3528902847,971499.0781047363,979787.5753555116,987892.4490422499
2023-01-18,891009.5697038823,1036890.8508669432,1016487.8982144467,860878.3626749832,953833.5073649902,967656.9194699452,970008.5598141194
2023-01-19,884795.751348322,1030958.701689392,1004586.9937611691,855875.1229498703,944691.8109195251,961044.1745491906,962655.5634126097
2023-01-20,900144.169896906,1038685.2776552733,1013587.0875187985,872394.8542389156,953545.0242679138,973509.6876235415,972296.2219151725
2023-01-23,905856.857610529,1045849.8905779418,1021310.8291760556,884065.1382408343,962483.4616420288,981091.7652508884,979697.8096571362
2023-01-24,909063.7992685491,1052297.6060930786,1026763.4059277646,883426.1544075214,964366.8651454467,989063.2518091472,982739.2634190051
2023-01-25,911164.2285440618,1053381.9901644287,1027715.631792175,887617.635454198,965164.2396152038,988040.794443369,983027.056159072
2023-01-26,922363.6181924993,1061792.3056932983,1032675.0720730893,895286.3660297595,975186.8617122192,990594.0482594967,989015.7397252074
2023-01-27,927600.0374086553,1060587.0163637695,1037364.4716588132,906200.6118488513,976487.7985522766,993601.8816057501,989850.8962769475
2023-01-30,919819.0532854253,1053395.5423723755,1028690.4829121701,902847.7226715289,970278.1533648986,984364.0736074327,982247.7739590016
2023-01-31,927627.8475740605,1065956.9169527588,1038261.1499081723,909328.3589534961,981727.6330592651,1005535.879319569,992996.0191515884
2023-02-01,931993.2404268438,1066409.1302477417,1036591.5312520139,913916.5049915515,981822.9968020935,1011334.7393997953,993197.6675246205
2023-02-02,939104.8159311467,1062738.5264803467,1041605.7563420407,917435.2153988086,992827.8195331115,1016062.8938969318,992060.9487897343
2023-02-03,930901.1290186101,1059977.4852510986,1037573.8686772458,916902.3633959895,989475.3403766174,1015991.3058257909,988334.0953942464
2023-02-06,930710.6241663152,1059282.9481722412,1036815.8855572812,912221.0443137294,986802.6871516723,1009428.5892478253,987314.7014181616
2023-02-07,940113.5646913701,1063256.5476137695,1046022.3709164731,919978.0835688716,995479.6833827514,1013577.5614173658,995054.2663993498
